ts,label,agent_url,device,cpu_percent_avg,mem_used_mb_peak,mem_used_mb_avg,net_kbps,accept_latency_ms,throughput_tx_s,total,elapsed_s
2025-09-24T06:51:39.269074,RQ3.1_L4,local,RaspberryPi5,10.12,6633.56,6624.31,3900.39,1036.537,0.96,,1.037
2025-09-24T06:51:41.900570,RQ3.1_L4,local,RaspberryPi5,8.8,6663.56,6660.53,2952.15,1045.329,0.96,,1.045
2025-09-24T06:51:44.535944,RQ3.1_L4,local,RaspberryPi5,6.88,6676.8,6671.87,2622.01,1023.527,0.98,,1.024
2025-09-24T06:51:47.176074,RQ3.1_L4,local,RaspberryPi5,7.0,6657.65,6655.98,2906.8,998.099,1.0,,0.998
2025-09-24T06:51:49.796804,RQ3.1_L4,local,RaspberryPi5,6.72,6675.98,6674.44,2225.83,1014.691,0.99,,1.015
2025-09-24T06:51:52.434541,RQ3.1_L4,local,RaspberryPi5,8.62,6671.4,6658.34,3468.13,989.833,1.01,,0.99
2025-09-24T06:51:55.042786,RQ3.1_L4,local,RaspberryPi5,6.83,6641.0,6635.34,3087.22,1032.763,0.97,,1.033
2025-09-24T06:51:57.906647,RQ3.1_L4,local,RaspberryPi5,15.94,6690.12,6679.57,4096.64,1132.894,0.88,,1.133
2025-09-24T06:52:00.560184,RQ3.1_L4,local,RaspberryPi5,10.97,6698.64,6695.31,3090.83,1079.022,0.93,,1.079
2025-09-24T06:52:03.199025,RQ3.1_L4,local,RaspberryPi5,10.62,6693.48,6690.18,3741.72,1068.025,0.94,,1.068
