round,node_id,reputation
0,n0,1.05
0,n1,1.05
0,n2,1.05
0,n3,1.05
0,n4,1.05
0,n5,1.05
0,n6,1.05
0,n7,1.05
0,n8,1.05
0,n9,1.05
0,n10,1.05
0,n11,1.05
0,n12,1.05
0,n13,1.05
0,n14,1.05
0,n15,1.05
0,n16,1.05
0,n17,1.05
0,n18,1.05
0,n19,1.05
0,n20,1.05
0,n21,1.05
0,n22,1.05
0,n23,1.05
0,n24,1.05
0,n25,1.05
0,n26,1.05
0,n27,1.05
0,n28,1.05
0,n29,1.05
0,n30,1.05
0,n31,1.05
0,n32,1.05
0,n33,1.05
0,n34,1.05
0,n35,1.05
0,n36,1.05
0,n37,1.05
0,n38,1.05
0,n39,1.05
0,n40,1.05
0,n41,1.05
0,n42,1.05
0,n43,1.05
0,n44,1.05
0,n45,1.05
0,n46,1.05
0,n47,1.05
0,n48,1.05
0,n49,1.05
0,n50,1.05
0,n51,1.05
0,n52,1.05
0,n53,1.05
0,n54,1.05
0,n55,1.05
0,n56,1.05
0,n57,1.05
0,n58,1.05
0,n59,1.05
0,n60,1.05
0,n61,1.05
0,n62,1.05
0,n63,1.05
0,n64,1.05
0,n65,1.05
0,n66,1.05
0,n67,1.05
0,n68,1.05
0,n69,1.05
0,n70,1.1500000000000001
0,n71,1.05
0,n72,1.05
0,n73,1.05
0,n74,1.05
0,n75,1.05
0,n76,1.05
0,n77,1.05
0,n78,1.05
0,n79,1.05
0,n80,1.05
0,n81,1.05
0,n82,1.05
0,n83,1.05
0,n84,1.05
0,n85,1.05
0,n86,1.05
0,n87,1.05
0,n88,1.05
0,n89,1.05
0,n90,1.05
0,n91,1.05
0,n92,1.05
0,n93,1.05
0,n94,1.05
0,n95,1.05
0,n96,1.05
0,n97,1.05
0,n98,1.05
0,n99,1.05
0,n100,1.05
0,n101,1.05
0,n102,1.05
0,n103,1.05
0,n104,1.05
0,n105,1.05
0,n106,1.05
0,n107,1.05
0,n108,1.05
0,n109,1.05
0,n110,1.05
0,n111,1.05
0,n112,1.05
0,n113,1.05
0,n114,1.05
0,n115,1.05
0,n116,1.05
0,n117,1.05
0,n118,1.05
0,n119,1.05
0,n120,1.05
0,n121,1.05
0,n122,1.05
0,n123,1.05
0,n124,1.05
0,n125,1.05
0,n126,1.05
0,n127,1.05
0,n128,1.05
0,n129,1.05
0,n130,1.05
0,n131,1.05
0,n132,1.05
0,n133,1.05
0,n134,1.05
0,n135,1.05
0,n136,1.05
0,n137,1.05
0,n138,1.05
0,n139,1.05
0,n140,1.05
0,n141,1.05
0,n142,1.05
0,n143,1.05
0,n144,1.05
0,n145,1.05
0,n146,1.05
0,n147,1.05
0,n148,1.05
0,n149,1.05
1,n0,1.1
1,n1,1.1
1,n2,1.1
1,n3,1.1
1,n4,1.1
1,n5,1.1
1,n6,1.1
1,n7,1.1
1,n8,1.1
1,n9,1.1
1,n10,1.1
1,n11,1.1
1,n12,1.1
1,n13,1.1
1,n14,1.1
1,n15,1.1
1,n16,1.1
1,n17,1.1
1,n18,1.1
1,n19,1.1
1,n20,1.1
1,n21,1.1
1,n22,1.1
1,n23,1.1
1,n24,1.1
1,n25,1.1
1,n26,1.1
1,n27,1.1
1,n28,1.1
1,n29,1.1
1,n30,1.1
1,n31,1.1
1,n32,1.1
1,n33,1.1
1,n34,1.1
1,n35,1.2000000000000002
1,n36,1.1
1,n37,1.1
1,n38,1.1
1,n39,1.1
1,n40,1.1
